oh	alternative spelling of ó
nossa	our (belonging to/ associated with/ related to/ or in the…
certeza	certainty (state of being certain)
diz	to say
nome	name (word or phrase which identifies an individual person/ place/…
às	contraction of a (“to”) + o m sg (“the”)
outro	other (not the one previously referred to)
todo	every/ all (all of a group)
dar	to give
tentar	to try/ go for/ attempt
sair	to exit/ to leave (go away from a certain place or situation)/ to…
têm	to have
quanto	as (to the same extent or degree that)
pensar	to think (communicate to oneself in one’s mind)
mal	badly (in a faulty/ dysfunctional or incorrect manner)
volta	return (act of returning)
aconteceu	to happen/ to occur/ to take place
consigo	third-person singular reflexive prepositional pronoun with com…
três	three (cardinal number 3)
mundo	world (the Universe)
menos	less (in lower degree)
amigo	friend (person whose company one enjoys)
contigo	with you (singular)
embora	away/ hence (from this place)
numa	contraction of em + um/ literally “in a (masculine)”
passa	dried fruit
porquê	why
problema	problem (difficulty that has to be resolved or dealt with)
carro	cart (vehicle drawn or pushed by a person or animal)
lado	side
vezes	time/ occasion
nas	contraction of em + as/ literally “in the”: feminine plural of no
fez	to make
seus	Third-person singular possessive determiner.
novo	new
merda	shit/ faeces (excretory product evacuated from the bowels)
parte	to split (divide something/ especially in two roughly equal parts)
todas	every/ all (all of a group)
aos	contraction of a (“to”) + o m sg (“the”)
obrigada	obligatory/ mandatory (required or commanded by authority)
primeiro	first (ordinal form of um (“one”))
será	to be (to have the given quality)/ especially a quality that is…
lugar	place (a location or position)
voltar	to return/ to come back
pensei	to think (communicate to oneself in one’s mind)
algum	some/ any
achas	to find/ to encounter (to come across something that was unknown…
vem	to come (to move towards the speaker or the agent)
dentro	inside (within or into something’s interior)
família	family/ nuclear family (a father/ mother and their sons and daughters)
ali	there (far from both the speaker and the interlocutor(s))
razão	reason (the ability to think correctly)
aquele	that (far from the speaker and listener)
dias	day
fui	to go (to move to a destination)
anda	stilt (a pole with footrests used by entertainers)
querida	to want/ to wish/ to desire
sabia	to know
duas	two (cardinal number 2)
ideia	to ideate (to generate an idea)
hora	hour (period of sixty minutes)
si	initialism of Sistema Internacional: SI
polícia	police
podem	to be able to/ can (to have the ability to)
forma	form/ shape (the visible structure of a thing)
entre	to enter/ to go into
caso	if (introduces a condition)
gosto	to like
atrás	behind (at the back)
homens	male (human of masculine gender)
devia	first/third-person singular imperfect indicative of dever
aquilo	that/ that thing (demonstrative)
amor	love
pessoa	person (an individual being/ especially a human)
ok	OK (indicates acknowledgement or acceptance)
podia	to be able to/ can (to have the ability to)
uns	a/ an
desde	since
somos	to be (to have the given quality)/ especially a quality that is…
cabeça	head (part of the body)
horas	hour (period of sixty minutes)
deles	contraction of de + ele
fica	inflection of ficar:
ajudar	to help/ aid/ to assist
tarde	late (near the end of a period of time)
momento	moment (very brief period of time)
tal	such
tenha	to have
pronto	ready/ finished
fiz	to make
foram	to go (to move to a destination)
ia	AI (artificial intelligence)
cidade	city/ town
amigos	friend (person whose company one enjoys)
encontrar	to meet
frente	front (facing side)
sido	to be (to have the given quality)/ especially a quality that is…
passar	to pass/ to pass by (to move past)
deixar	to leave/ to exit (to go out of or away from a place)
vi	first-person singular preterite indicative of ver
nenhum	no/ none
gente	people
durante	during (for all of a given time interval)
seria	to be (to have the given quality)/ especially a quality that is…
outros	other (not the one previously referred to)
entrar	to enter/ to go into
chegar	to arrive (at)/ to reach (to conclude moving to a destination)
nova	news
trabalhar	to work (to do a specific task)
quase	almost (very close to)
desculpe	inflection of desculpar:
amanhã	tomorrow (in the day after today)
tanto	so much (to a large or excessive degree)
fosse	to go (to move to a destination)
história	history
irmão	brother (male sibling)
cima	top/ summit
contra	against
morrer	to die (to stop living)
maneira	manner/ way (particular method of doing something)
suas	Third-person singular possessive determiner.
enquanto	as/ while (at the same time as)
alguns	some/ any
ajuda	to help/ aid/ to assist
precisa	to need
morto	to kill (to cause to die)
primeira	first (ordinal form of um (“one”))
porta	door
minhas	my (belonging to/ associated with/ related to/ or in the…
medo	fear (emotion caused by actual or perceived danger or threat)
morte	death (cessation of life)
aquela	feminine singular of aquele
óptimo	pre-reform spelling (used until 1990) of ótimo/ still used where…
caminho	to walk (travel a distance by walking)
vir	to see/ to observe (to perceive with one’s eyes)
feliz	happy
sinto	to sense/ to feel (to perceive by means of biological senses)
minutos	minute (60 seconds)
ouvir	to hear (to perceive with the ear/ without necessarily paying…
desta	contraction of de + este/ literally “of/from this (masculine)”
tive	to be (indicates location in space)
neste	contraction of em + este/ literally “in this (masculine)”
matar	to kill (to cause to die)
cada	each/ every (qualifying a singular noun/ indicating all examples…
estes	this (indicates something or someone nearby)
acontecer	to happen/ to occur/ to take place
espero	to wait
ano	year
rapaz	boy/ young man/ lad/ youngster
precisamos	to need
for	first/third-person singular future subjunctive of ir
causa	cause/ reason
feito	to make
sorte	sort
lamento	to lament/ to bewail/ to feel sorry for
filha	son (male offspring)
acha	to find/ to encounter (to come across something that was unknown…
teus	your (singular) (belonging to/ associated with/ related to/ or in…
levar	to take (to move something to a destination)
conta	to tell (to convey given information)
estas	this (indicates something or someone nearby)
arma	weapon
pessoal	personal
quarto	fourth
olhos	eye
senhora	a man (an adult male human)
adeus	goodbye (farewell)
cara	greatly valued/ dear/ loved/ lovable
disto	to be far
algumas	some/ any
juntos	together
difícil	difficult/ hard/ unlikely
última	final/ last
única	unique
manhã	morning
importante	important (having relevant and crucial value)
poder	to be able to/ can (to have the ability to)
mãos	hand
ei	apocopic form of eis/ used preceding the pronouns lo/ la/ los or las
água	water (H₂O)
começar	to start/ to begin/ to commence
faço	to make
perto	close/ closely/ next (at a little distance)
cuidado	to take care (of)/ to look after (to provide care for)
sangue	blood (vital liquid flowing in human and animal bodies)
nossos	our (belonging to/ associated with/ related to/ or in the…
semana	week (period of seven days)
mesma	same (not different/ not another)
usar	to use/ to utilise/ to employ/ to make use of
significa	to mean (to have a particular meaning)
acredito	to believe (to accept that someone is telling the truth)
querem	to want/ to wish/ to desire
cinco	five
acabou	to finish (to be over/ completed)
problemas	problem (difficulty that has to be resolved or dealt with)
corpo	body
altura	height
disseste	to say
nisso	contraction of em + isso/ literally “in that thing (near you)”:…
chefe	chief/ head/ head man/ boss
jogo	to play (to participate in a sport or game)
guerra	war (organised/ large-scale armed conflict)
fala	to speak/ to talk (to say words out loud)
procura	to search/ to seek/ to look for
sabemos	to know
fizeste	to make
ouve	to hear (to perceive with the ear/ without necessarily paying…
realmente	truly/ really/ actually
terra	land/ region/ territory (area associated with something)
havia	there be/ exist
ontem	yesterday
umas	a/ an
deixa-me
dólares	dollar (designation for specific currency)
comer	to eat
dormir	to sleep/ to be asleep (to rest in a state of reduced consciousness)
dá	to give
escola	school (institution dedicated to teaching and learning)
logo	soon (in a short while)
querido	to want/ to wish/ to desire
sabem	to know
fim	end/ conclusion/ closure
deste	to give
eram	to be (to have the given quality)/ especially a quality that is…
pára	inflection of parar:
agente	agent (one who exerts power)
equipa	team
rapariga	girl/ young lady
marido	husband (male partner in a married couple)
calma	calm
coração	heart (organ of the body)
segurança	security/ safety (condition of not being threatened)
viver	to live/ to have life
estado	to be (indicates location in space)
parar	to stop (to no longer move)
teve	to be (indicates location in space)
segundo	second (ordinal numeral for 2)
muitas	much/ many/ a lot of/ lots of
quatro	four
mão	hand
baixo	low
maior	comparative degree of grande/ bigger/ larger
meio	to halve (divide into two)
meses	obsolete spelling of mês
mau	bad
vê	to see/ to observe (to perceive with one’s eyes)
ouvi	to hear (to perceive with the ear/ without necessarily paying…
andar	to walk (to move on one’s feet)
rápido	fast (occurring or happening within a short time)
número	number (quantity)
vejo	to see/ to observe (to perceive with one’s eyes)
mulheres	woman (adult female human)
morreu	to die (to stop living)
nenhuma	no/ none
acordo	to awake/ to wake up (to stop sleeping)
festa	party
fazes	to make
capitão	captain (army officer rank)
raio	ray
pais	parents
suficiente	sufficient/ enough
poderia	to be able to/ can (to have the ability to)
crianças	child (young person)
estavam	to be (indicates location in space)
força	force/ strength
muitos	much/ many/ a lot of/ lots of
nesta	contraction of em + este/ literally “in this (masculine)”
presidente	president
buscar	to search for
filhos	son (male offspring)
perder	to lose (an object/ a job/ interest etc.)
esperar	to wait
viu	to see/ to observe (to perceive with one’s eyes)
irmã	sister
chega	to arrive (at)/ to reach (to conclude moving to a destination)
possível	possible
devias	should (indicates that an action is considered by the speaker to…
sai	inflection of sair:
acabar	to finish (to be over/ completed)
rapazes	boy/ young man/ lad/ youngster
precisas	to need
elas	third-person masculine singular nominative personal pronoun/ he/ it
contar	to tell (to convey given information)
idiota	idiotic
olhar	to look
vossa	your (plural) (belonging to/ associated with/ related to/ or in…
teria	to have
foste	to go (to move to a destination)
estavas	to be (indicates location in space)
pena	punishment
mil	one thousand/ a thousand/ 1000
longe	far/ a long way
faça	to make
penso	to think (communicate to oneself in one’s mind)
tivesse	to be (indicates location in space)
tuas	your (singular) (belonging to/ associated with/ related to/ or in…
pedir	to ask for/ to request (to express the need or desire for something)
estranho	odd/ strange (not normal)
importa	to import
fácil	easy (requiring little skill or effort)
muita	much/ many/ a lot of/ lots of
veio	to come (to move towards the speaker or the agent)
brincar	to play/ as in child's play or "playing around"
bebé	baby
plano	flat/ level (having the same height at all places)
devo	first-person singular present indicative of dever
prazer	pleasure
velho	old/ ancient (having existed for a long period of time)
conseguir	to get/ obtain
passado	to pass/ to pass by (to move past)
tomar	to take (to get something into one’s possession or control)
além	there/ over there
jantar	dinner (evening meal)
dá-me
depressa	to depress (to make depressed/ sad or bored)
pergunta	question
tirar	to take/ take out/ take away
pequeno	small
descobrir	to discover (to find something for the first time)
sala	room (division in a building)
ah	ah! (expression of relief/ realization/ awe)
telefone	to telephone (to contact using a telephone)
trás	behind
seis	six
culpa	fault
vos	objective of vós
exactamente	pre-reform spelling (used until 1943 in Brazil and 1990 in…
possa	to be able to/ can (to have the ability to)
deixa	to leave/ to exit (to go out of or away from a place)
errado	to err (make a mistake)
vivo	to live/ to have life
menina	boy (a young male)
